old.name,new.name,value,final
V1,Date,date,Y
V2,SampleID,character,Y
V3,LibraryID,character,Y
V4,FullID,character,Y
V5,Total Reads,numeric,Y
V6,Mapped Reads,numeric,Y
V7,Mapped Reads (%),numeric,Y
V8,Genome Size,numeric,Y
V9,Genome GC,numeric,Y
V10,Any Total Bases,numeric,Y
V11,Any Total Bases (%),numeric,Y
V12,Any GC-Content,numeric,Y
V13,Any Coverage mean,numeric,Y
V14,Any Coverage median,numeric,Y
V15,Unambiguous Total Bases,numeric,Y
V16,Unambiguous Total Bases (%),numeric,Y
V17,Unambiguous GC-Content,numeric,Y
V18,Unambiguous Coverage mean,numeric,Y
V19,Unambiguous Coverage median,numeric,Y
V20,SNPs,numeric,Y
V21,Deletions,numeric,Y
V22,Insertions,numeric,Y
V23,Uncovered,numeric,Y
V24,Substitutions (Including Stop Codons),numeric,Y
