#DRT_type;DRT;rifampicin;isoniazid;ethambutol;pyrazinamide;moxifloxacin;levofloxacin;bedaquiline;delamanid;pretomanid;linezolid;streptomycin;amikacin;kanamycin;capreomycin;clofazimine;ethionamide;para.aminosalicylic_acid;cycloserine;description
DRT_type;DRT;RIF;INH;EMB;PZA;MFX;LFX;BDQ;DLM;Pa;LZD;STM;AMK;KAN;CAP;CFZ;ETO;PAC;CYR;description
MDR TB;MDR;"!= ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";MDR (Isoniazid and rifampin resistance)
MDR TB;MDR (+ETO);"!= ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";MDR + ethionamide resistance
MDR TB;MDR (+EMB);"!= ""S""";"!= ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";MDR + ethambutol
MDR TB;MDR (+PZA+ETO);"!= ""S""";"!= ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";MDR + pyrazinamide and ethlonamide resistance
MDR TB;MDR (+PZA);"!= ""S""";"!= ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";MDR + pyrazinamide resistance
MDR TB;MDR (+EMB+STM);"!= ""S""";"!= ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";MDR + ethambutol and streptomycin resistance
MDR TB;MDR (+EMB+PZA+STM);"!= ""S""";"!= ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";MDR + ethambutol, pyrazinamide and streptomycin resistance
MDR TB;MDR (+PZA+STM);"!= ""S""";"!= ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";MDR + pyrazinamide, and streptomycin resistance
MDR TB;MDR (+EMB+PZA);"!= ""S""";"!= ""S""";"!= ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";MDR + ethambutol, and pyrazinamide
MDR TB;MDR (+EMB+PZA+STM+ETO);"!= ""S""";"!= ""S""";"!= ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";" == ""S""";" == ""S""";"!= ""S""";" == ""S""";" == ""S""";MDR + ethambutol, pyrazinamide, streptomycin, and ethambutol
