old.name,new.name,value,final
Sample,Sample,character,Y
Library,Library,character,Y
Main lineage,Main lineage,character,Y
Sub-lineage,Sub-lineage,character,Y
DR type,DR type (WHO),chr,Y
Drug resistance type,DR type (TBDB),chr,N
corr_DRType,DR type (corr WHO), chr,Y
corr_DRTypeExt,DR type (ext corr WHO), chr,Y
Total Reads,Total Reads,numeric,Y
Unambiguous Total Bases,Unambiguous Total Bases,numeric,Y
Unambiguous Total Bases (%),Unambiguous Total Bases (%),numeric,Y
Unambiguous GC Content,Unambiguous GC Content,numeric,Y
Unambiguous Coverage median,Unambiguous Coverage median,numeric,Y
nSNPs,nSNPs,numeric,Y
Infection type,Infection type,chr,Y
Lineages (fractions),Lineages (fractions),chr,Y
Lineages (mixed fractions > 90),Lineages (mixed fractions >90%),chr,Y
