SampleID	lineage	dSNP_5	dSNP_10	dSNP_15	SNP_nd5.id10.vd15	SNP_d5_L	SNP_d10_L	SNP_d15_L
05-135_L9	lineage4.8	nX	iX	vX	nX.iX.vX-L4.8	nX-L4.8	iX-L4.8	vX-L4.8
06-010_L2	lineage4.8	nX	i1	v1	nX.i1.v1-L4.8	nX-L4.8	i1-L4.8	v1-L4.8
20-055_L9	lineage4.8	nX	i1	v1	nX.i1.v1-L4.8	nX-L4.8	i1-L4.8	v1-L4.8
51-027_L10	lineage4.8	nX	i1	v1	nX.i1.v1-L4.8	nX-L4.8	i1-L4.8	v1-L4.8
08-067-MT_L25	lineage4.3	n1	i1	v1	n1.i1.v1-L4.3	n1-L4.3	i1-L4.3	v1-L4.3
20-037_L2	lineage4.3	n1	i1	v1	n1.i1.v1-L4.3	n1-L4.3	i1-L4.3	v1-L4.3
20-049_L9	lineage4.3	n1	i1	v1	n1.i1.v1-L4.3	n1-L4.3	i1-L4.3	v1-L4.3
04-042_L517	lineage4.3	nX	iX	vX	nX.iX.vX-L4.3	nX-L4.3	iX-L4.3	vX-L4.3
05-109-MT_L18	lineage4.3	nX	iX	vX	nX.iX.vX-L4.3	nX-L4.3	iX-L4.3	vX-L4.3
05-236-MT_L22	lineage4.3	nX	iX	vX	nX.iX.vX-L4.3	nX-L4.3	iX-L4.3	vX-L4.3
05-255-MT_L22	lineage4.3	nX	iX	vX	nX.iX.vX-L4.3	nX-L4.3	iX-L4.3	vX-L4.3
08-067-MT_L25	lineage4	n1	i1	v1	n1.i1.v1-L4	n1-L4	i1-L4	v1-L4
20-037_L2	lineage4	n1	i1	v1	n1.i1.v1-L4	n1-L4	i1-L4	v1-L4
20-049_L9	lineage4	n1	i1	v1	n1.i1.v1-L4	n1-L4	i1-L4	v1-L4
06-010_L2	lineage4	nX	i2	v2	nX.i2.v2-L4	nX-L4	i2-L4	v2-L4
20-055_L9	lineage4	nX	i2	v2	nX.i2.v2-L4	nX-L4	i2-L4	v2-L4
51-027_L10	lineage4	nX	i2	v2	nX.i2.v2-L4	nX-L4	i2-L4	v2-L4
04-042_L517	lineage4	nX	iX	vX	nX.iX.vX-L4	nX-L4	iX-L4	vX-L4
05-109-MT_L18	lineage4	nX	iX	vX	nX.iX.vX-L4	nX-L4	iX-L4	vX-L4
05-135_L9	lineage4	nX	iX	vX	nX.iX.vX-L4	nX-L4	iX-L4	vX-L4
05-236-MT_L22	lineage4	nX	iX	vX	nX.iX.vX-L4	nX-L4	iX-L4	vX-L4
05-255-MT_L22	lineage4	nX	iX	vX	nX.iX.vX-L4	nX-L4	iX-L4	vX-L4
