SampleID,type
03-027_R20,sample
04-214_R20,sample
04-217_R20,sample
04-248_R20,ENA
04-249_R20,ENA
04-250_R20,sample
04-252_R20,sample
04-253_R20,sample
04-254_R20,sample
04-255_R20,sample
04-256_R20,sample
04-257_R20,sample
04-258_R20,sample
04-259_R20,sample
04-261_R20,sample
04-262_R20,sample
04-263_R20,sample
04-264_R20,sample
04-265_R20,sample
04-266_R20,sample
04-268_R20,sample
04-271_R20,sample
04-273_R20,sample
05-492_R20,sample
05-497_R20,sample
05-506_R20,sample
05-507_R20,sample
05-509_R20,sample
05-513_R20,sample
05-514_R20,sample
06-154_R20,sample
06-155_R20,sample
06-156_R20,sample
06-158_R20,sample
06-161_R20,sample
06-162_R20,sample
08-115_R20,sample
08-116_R20,sample
08-121_R20,sample
08-123_R20,sample
08-125_R20,sample
10-264_R20,sample
10-265_R20,sample
10-266_R20,sample
10-267_R20,sample
10-268_R20,sample
10-269_R20,sample
10-270_R20,sample
10-272_R20,sample
10-275_R20,sample
18-094_R20,sample
18-095_R20,sample
18-096_R20,SRA
18-097_R20,SRA
18-098_R20,SRA
20-224_R20,SRA
20-225_R20,SRA
20-229_R20,SRA
21-053_R20,SRA
21-054_R20,SRA
21-055_R20,SRA
29-303_R20,SRA
29-310_R20,SRA
32-110_R20,SRA
32-116_R20,SRA
32-117_R20,ENA
32-118_R20,ENA
32-120_R20,ENA
44-040_R20,ENA
47-227_R20,sample
47-229_R20,sample
47-256_R20,sample
47-259_R20,sample
47-260_R20,sample
47-261_R20,sample
47-262_R20,sample
47-263_R20,sample
51-079_R20,sample
51-081_R20,sample
CN-001,control
CN-002,control
CN003,control
