ID	start	stop	Strand	Length	PID	Gene	Synonym	COG	sanger_anot	Possible.DR.phage.PEPPE.	essential.	Annotation	Filter_criteria	Filter
1..1524	1	1524	+	507	15607143	dnaA	Rv0001	COG0593L	 II.A.5		essential	chromosomal replication initiation protein		KEEP
1525..2051	1525	2051	I	NA	NA		IG1_Rv0001-Rv0002							KEEP
2052..3260	2052	3260	+	402	15607144	dnaN	Rv0002	COG0592L	 II.A.5		nonessential	DNA polymerase III subunit beta		KEEP
3261..3279	3261	3279	I	NA	NA		IG2_Rv0002-Rv0003							KEEP
3280..4437	3280	4437	+	385	15607145	recF	Rv0003	COG1195L	 II.A.5		nonessential	recombination protein F		KEEP
4434..4997	4434	4997	+	187	15607146	-	Rv0004	COG5512R	 V		nonessential	hypothetical protein		KEEP
4998..5122	4998	5122	I	NA	NA		IG4_Rv0004-Rv0005							KEEP
5123..7267	5123	7267	+	714	15607147	gyrB	Rv0005	COG0187L	 II.A.5	DR-flq	essential	DNA gyrase subunit B		KEEP
7268..7301	7268	7301	I	NA	NA		IG5_Rv0005-Rv0006							KEEP
7302..9818	7302	9818	+	838	15607148	gyrA	Rv0006	COG0188L	 II.A.5	DR-flq	nonessential	DNA gyrase subunit A		KEEP
9819..9913	9819	9913	I	NA	NA		IG6_Rv0006-Rv0007							KEEP
9914..10828	9914	10828	+	304	15607149	-	Rv0007	-	 II.C.5		nonessential	hypothetical protein		KEEP
10829..11873	10829	11873	I	NA	NA		IG7_Rv0007-Rv0008c							KEEP
11874..12311	11874	12311	-	145	15607150	-	Rv0008c	-	 II.C.5		nonessential	hypothetical protein		KEEP
12312..12467	12312	12467	I	NA	NA		IG8_Rv0008c-Rv0009							KEEP
12468..13016	12468	13016	+	182	15607151	ppiA	Rv0009	COG0652O	 II.A.6		nonessential	iron-regulated peptidyl-prolyl cis-trans isomerase A		KEEP
13017..13132	13017	13132	I	NA	NA		IG9_Rv0009-Rv0010c							KEEP
13133..13558	13133	13558	-	141	15607152	-	Rv0010c	-	 II.C.4		nonessential	hypothetical protein		KEEP
13559..13713	13559	13713	I	NA	NA		IG10_Rv0010c-Rv0011c							KEEP
