ID	start	stop	Strand	Length	PID	Gene	Synonym	COG	sanger_anot	Possible.DR.phage.PEPPE.	essential.	Annotation	Filter_criteria	Filter
39029..39030	39029	39030	I	NA	NA		IG35_Rv0035-Rv0036c						Marin et al 2022 + homoplasy analysis	DISCARD
55548..55647	55548	55647	+	678	57116685	ponA1	Rv0050	COG0744M	 II.C.3		nonessential	bifunctional penicillin-binding protein 1A/1B	Marin et al 2022 + homoplasy analysis	DISCARD
103702..103709	103702	103709	I	NA	NA		IG94_Rv0093c-Rv0094c						Annotation + Marin et al 2022	DISCARD
103710..104663	103710	104663	-	317	15607236	-	Rv0094c	-	 V	repeat13E12	nonessential	hypothetical protein	Annotation + Marin et al 2022	DISCARD
104664..104804	104664	104804	I	NA	NA		IG95_Rv0094c-Rv0095c			repeat			Annotation + Marin et al 2022	DISCARD
104805..104811	104805	104811	-	136	15607237	-	Rv0095c	-	 V	repeat13E12	nonessential	hypothetical protein	Annotation + Marin et al 2022	DISCARD
104813..105137	104813	105137	-	136	15607237	-	Rv0095c	-	 V	repeat13E12	nonessential	hypothetical protein	Annotation + Marin et al 2022	DISCARD
131785..131844	131785	131844	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
131928..131982	131928	131982	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
131992..131993	131992	131993	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
132077..132079	132077	132079	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
132159..132189	132159	132189	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
132518..132684	132518	132684	+	496	57116691	PE_PGRS1	Rv0109	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
149499..149526	149499	149526	I	NA	NA		IG124_Rv0123-Rv0124						Annotation + Marin et al 2022	DISCARD
149634..149760	149634	149760	+	487	57116692	PE_PGRS2	Rv0124	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
149825..150890	149825	150890	+	487	57116692	PE_PGRS2	Rv0124	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
177094..177180	177094	177180	I	NA	NA		IG151_Rv0150c-Rv0151c						Annotation + Marin et al 2022	DISCARD
177225..177322	177225	177322	I	NA	NA		IG151_Rv0150c-Rv0151c						Annotation + Marin et al 2022	DISCARD
177337..177408	177337	177408	I	NA	NA		IG151_Rv0150c-Rv0151c						Annotation + Marin et al 2022	DISCARD
308321..308413	308321	308413	-	556	57116708	PPE2	Rv0256c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein	Annotation + Marin et al 2022	DISCARD
309084..309191	309084	309191	-	556	57116708	PPE2	Rv0256c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein	Annotation + Marin et al 2022	DISCARD
333137..333141	333137	333141	I	NA	NA		IG280_Rv0277c-Rv0278c						Annotation + Marin et al 2022	DISCARD
333157..333223	333157	333223	I	NA	NA		IG280_Rv0277c-Rv0278c						Annotation + Marin et al 2022	DISCARD
333292..333406	333292	333406	I	NA	NA		IG280_Rv0277c-Rv0278c						Annotation + Marin et al 2022	DISCARD
333436..333436	333436	333436	I	NA	NA		IG280_Rv0277c-Rv0278c						Annotation + Marin et al 2022	DISCARD
333437..336310	333437	336310	-	957	57116712	PE_PGRS3	Rv0278c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein	Annotation + Marin et al 2022	DISCARD
336311..336385	336311	336385	I	NA	NA		IG281_Rv0278c-Rv0279c			repeat			Annotation + Marin et al 2022	DISCARD
336399..336400	336399	336400	I	NA	NA		IG281_Rv0278c-Rv0279c			repeat			Annotation + Marin et al 2022	DISCARD
336402..336405	336402	336405	I	NA	NA		IG281_Rv0278c-Rv0279c			repeat			Annotation + Marin et al 2022	DISCARD
336496..336497	336496	336497	I	NA	NA		IG281_Rv0278c-Rv0279c			repeat			Annotation + Marin et al 2022	DISCARD
336503..336504	336503	336504	I	NA	NA		IG281_Rv0278c-Rv0279c			repeat			Annotation + Marin et al 2022	DISCARD
